FUNCTION                  TICKS
NULL:                      1.00
CONST INT 1D:              2.50
CONST INT 3D:              4.67
CONST INT 9D:             11.33
CONST INT 14D:            17.50
CONST FL 3D:              14.67
CONST FL 9D:              36.17
CONST FL 14D:             61.50
CONST HEX 1D:              2.67
CONST HEX 3D:              3.00
CONST HEX 4D:              2.83
ASSIGN:                    2.33
INC:                       3.83
INC BY HEX:                3.83
MUL:                       4.17
MUL FL:                    5.83
DIV:                       6.00
HALF BY MUL:               7.33
HALF BY DIV:               5.67
SIN+DIV:                  31.00
TAN+DIV:                  54.67
ATN:                      44.67
SQRT:                     50.00
LOG:                      23.83
EXP+DIV:                  28.67
SQRT BY LOG+EXP:          52.17
POWER(SMALL):             50.00
POWER(LARGE):             55.67
AND:                       2.67
XOR:                      11.50
RND(0):                    6.00
RND(2):                   10.67
STR$(1):                  10.83
STR$(PI):                 11.17
